"CTRY","YEAR","ID","lnpopterr","logGDPCAP","logUSMilitaryAid","logArea","Polity2","CINC","WECON","WOPOL","WOSOC","Muslim","PhysicalIntegrity","Alliances"
"United States of America",1981,2,19.25359,9.546325,0,16.03057,10,0.1365281,2,1,2,0,8,0
"United States of America",1982,2,19.25359,9.577686,0,16.03057,10,0.1281606,2,1,2,0,8,0
"United States of America",1983,2,19.25359,9.652551,0,16.03057,10,0.131504,2,1,2,0,8,0
"United States of America",1984,2,19.29615,9.748837,0,16.03057,10,0.1313398,2,2,2,0,8,0
"United States of America",1985,2,19.29615,9.812984,0,16.03057,10,0.1332526,2,2,2,0,7,0
"United States of America",1986,2,19.29615,9.858232,0,16.03057,10,0.1320948,2,2,2,0,7,0
"United States of America",1987,2,19.29615,9.908518,0,16.03057,10,0.1312786,2,2,2,0,8,0
"United States of America",1988,2,19.29615,9.975028,0,16.03057,10,0.1327556,2,2,2,0,7,0
"United States of America",1989,2,19.33697,10.03987,0,16.03057,10,0.1466928,2,2,2,0,7,0
"United States of America",1990,2,19.33697,10.08391,0,16.03057,10,0.139376,2,2,2,0,8,0
"United States of America",1991,2,19.33697,10.10255,0,16.03057,10,0.1355988,2,2,2,0,7,0
"United States of America",1992,2,19.37619,10.14616,0,16.03057,10,0.1460814,2,2,2,0,7,0
"United States of America",1993,2,19.37619,10.18357,0,16.03057,10,0.1527098,2,2,2,0,7,0
"United States of America",1994,2,19.37619,10.23195,0,16.03057,10,0.1448253,2,2,2,0,7,0
"United States of America",1995,2,19.37619,10.26751,0,16.03057,10,0.1406412,2,2,2,0,7,0
"United States of America",1996,2,19.41393,10.31122,0,16.03057,10,0.1383393,2,2,2,0,7,0
"United States of America",1997,2,19.41393,10.36005,0,16.03057,10,0.13966,2,2,2,0,7,0
"United States of America",1998,2,19.41393,10.40272,0,16.03057,10,0.1417342,2,2,2,0,7,0
"United States of America",1999,2,19.4503,10.45221,0,16.03057,10,0.1428883,2,2,2,0,7,0
"United States of America",2000,2,19.4503,10.50369,0,16.03057,10,0.1429513,2,2,2,0,7,0
"United States of America",2001,2,19.48539,10.52604,0,16.03057,10,0.1420117,2,2,2,0,5,0
"United States of America",2002,2,19.48539,10.5497,0,16.03057,10,0.1434598,2,2,2,0,6,0
"United States of America",2003,2,19.48539,10.58853,0,16.03057,10,0.1420938,2,2,2,0,6,0
"United States of America",2004,2,19.48539,10.64356,0,16.03057,10,0.1431688,2,2,2,0,4,0
"United States of America",2005,2,19.48539,10.69892,0,16.03057,10,0.1482896,3,2,NA,0,4,0
"Canada",1981,20,17.03439,9.41565,0,13.06624,10,0.0122387,2,2,3,0,8,1
"Canada",1982,20,17.03439,9.428481,0,13.06624,10,0.0116481,3,2,3,0,7,1
"Canada",1983,20,17.03439,9.500687,0,13.06624,10,0.0118277,3,2,3,0,7,1
"Canada",1984,20,17.07361,9.530167,0,13.06624,10,0.0118372,2,2,3,0,7,1
"Canada",1985,20,17.07361,9.546185,0,16.02307,10,0.0114103,3,2,3,0,8,1
"Canada",1986,20,17.07361,9.570511,0,16.02307,10,0.0115082,3,2,3,0,8,1
"Canada",1987,20,17.11135,9.690231,0,16.02307,10,0.0117335,2,2,3,0,8,1
"Canada",1988,20,17.11135,9.842386,0,16.02307,10,0.0118674,3,2,3,0,8,1
"Canada",1989,20,17.11135,9.932394,0,16.02307,10,0.0123878,2,2,3,0,8,1
"Canada",1990,20,17.14771,9.966575,0,16.02307,10,0.0116063,2,2,3,0,8,1
"Canada",1991,20,17.14771,9.980039,0,16.02307,10,0.0123652,2,2,3,0,8,1
"Canada",1992,20,17.18281,9.937537,0,16.02307,10,0.0124408,2,2,3,0,7,1
"Canada",1993,20,17.18281,9.900301,0,16.02307,10,0.0124252,2,2,3,0,8,1
"Canada",1994,20,17.18281,9.892714,0,16.02307,10,0.0120203,2,2,3,0,7,1
"Canada",1995,20,17.18281,9.928619,0,16.02307,10,0.011727,2,2,3,0,8,1
"Canada",1996,20,17.21671,9.958423,0,16.02307,10,0.0116868,2,2,3,0,8,1
"Canada",1997,20,17.21671,9.985496,0,16.02307,10,0.0116001,2,3,3,0,8,1
"Canada",1998,20,17.21671,9.94632,0,16.02307,10,0.0118511,2,3,2,0,7,1
"Canada",1999,20,17.21671,10.00377,10.34634,16.02307,10,0.0118983,2,3,3,0,8,1
"Canada",2000,20,17.2495,10.08714,10.87927,16.02307,10,0.01182,2,3,2,0,7,1
"Canada",2001,20,17.2495,10.06789,10.66301,16.02307,10,0.011386,2,3,3,0,7,1
"Canada",2002,20,17.2495,10.0856,10.83944,16.02307,10,0.0112931,2,3,3,0,7,1
"Canada",2003,20,17.2495,10.24089,9.616539,16.02307,10,0.0109833,3,3,3,0,7,1
"Canada",2004,20,17.2495,10.36817,9.053102,16.02307,10,0.0108033,3,3,3,0,7,1
"Canada",2005,20,17.2495,10.49206,0,16.02307,10,0.0107274,2,3,NA,0,6,1
"Bahamas",1981,31,12.27373,8.798219,0,9.21134,NA,0.0001921,NA,NA,NA,0,NA,1
"Bahamas",1982,31,12.29683,8.876982,0,9.21134,NA,0.000207,NA,NA,NA,0,NA,1
"Bahamas",1983,31,12.3194,8.948327,0,9.21134,NA,0.0001859,NA,NA,NA,0,NA,1
"Bahamas",1984,31,12.34148,9.090851,0,9.21134,NA,0.0001217,NA,NA,NA,0,NA,1
"Bahamas",1985,31,12.35449,9.19914,11.33194,9.21134,NA,5.31e-05,NA,NA,NA,0,NA,1
"Bahamas",1986,31,12.37159,9.243725,11.26286,9.21134,NA,3.44e-05,NA,NA,NA,0,NA,1
"Bahamas",1987,31,12.38839,9.319264,11.33178,9.21134,NA,3.44e-05,NA,NA,NA,0,NA,1
"Bahamas",1988,31,12.40901,9.339785,11.40326,9.21134,NA,4.56e-05,NA,NA,NA,0,NA,1
"Bahamas",1989,31,12.42922,9.405725,11.01589,9.21134,NA,5.8e-05,NA,NA,NA,0,NA,1
"Bahamas",1990,31,12.45215,9.421483,11.18093,9.21134,NA,5.06e-05,NA,NA,NA,0,NA,1
"Bahamas",1991,31,12.46458,9.385537,12.13258,9.21134,NA,4.26e-05,NA,NA,NA,0,NA,1
"Bahamas",1992,31,12.47797,9.365815,11.71974,9.21134,NA,4.38e-05,NA,NA,NA,0,NA,1
"Bahamas",1993,31,12.495,9.341601,11.63173,9.21134,NA,4.71e-05,NA,NA,NA,0,NA,1
"Bahamas",1994,31,12.51356,9.376882,10.0007,9.21134,NA,3.58e-05,NA,NA,NA,0,NA,1
"Bahamas",1995,31,12.53538,9.412451,11.24196,9.21134,NA,3.48e-05,NA,NA,NA,0,NA,1
"Bahamas",1996,31,12.55673,9.4507,12.50548,9.21134,NA,3.45e-05,NA,NA,NA,0,NA,1
"Bahamas",1997,31,12.57418,9.757771,13.77096,9.21134,NA,3.4e-05,NA,NA,NA,0,NA,1
"Bahamas",1998,31,12.59134,9.823198,14.05217,9.21134,NA,3.47e-05,NA,NA,NA,0,NA,1
"Bahamas",1999,31,12.60485,9.928471,15.53495,9.21134,NA,4.2e-05,NA,NA,NA,0,NA,1
"Bahamas",2000,31,12.62807,9.963696,15.71892,9.21134,NA,4.23e-05,NA,NA,NA,0,NA,1
"Bahamas",2001,31,12.64381,9.975683,15.7706,9.21134,NA,4.22e-05,2,2,0,0,7,1
"Bahamas",2002,31,12.64381,10.02151,15.67295,9.21134,NA,4.17e-05,NA,NA,NA,0,NA,1
"Bahamas",2003,31,12.64381,9.999181,15.63026,9.21134,NA,4.02e-05,2,2,0,0,6,1
"Bahamas",2004,31,12.64381,9.998594,15.81151,9.21134,NA,4.13e-05,2,2,0,0,6,1
"Bahamas",2005,31,12.64381,10.06074,14.6595,9.21134,NA,4.15e-05,2,2,NA,0,7,1
"Cuba",1981,40,16.08764,7.620033,0,11.57506,-7,0.0029223,1,2,1,0,4,0
"Cuba",1982,40,16.09789,7.654943,0,11.57506,-7,0.0029362,1,2,1,0,2,0
"Cuba",1983,40,16.10805,7.708852,0,11.57506,-7,0.0030418,1,2,1,0,1,0
"Cuba",1984,40,16.1181,7.783159,0,11.57506,-7,0.003194,1,2,1,0,2,0
"Cuba",1985,40,16.1181,7.728981,0,11.57506,-7,0.0034213,1,2,1,0,3,0
"Cuba",1986,40,16.1181,7.775948,0,11.57506,-7,0.0033421,1,3,1,0,1,0
"Cuba",1987,40,16.1181,7.805983,0,11.57506,-7,0.0033758,NA,2,1,0,2,0
"Cuba",1988,40,16.1181,7.880657,0,11.57506,-7,0.0034229,2,2,2,0,4,0
"Cuba",1989,40,16.21341,7.854474,0,11.57506,-7,0.0032644,2,2,2,0,3,0
"Cuba",1990,40,16.21341,7.903587,0,11.57506,-7,0.0031637,2,3,2,0,3,0
"Cuba",1991,40,16.21341,7.732039,0,11.57506,-7,0.0032334,2,2,2,0,4,0
"Cuba",1992,40,16.21341,7.629111,0,11.57506,-7,0.0026891,2,2,2,0,3,0
"Cuba",1993,40,16.21341,7.636034,0,11.57506,-7,0.0026432,2,2,2,0,3,0
"Cuba",1994,40,16.21341,7.871363,0,11.57506,-7,0.0019758,2,2,2,0,3,0
"Cuba",1995,40,16.21341,7.933822,0,11.57506,-7,0.001575,2,2,2,0,3,0
"Cuba",1996,40,16.21341,7.733493,0,11.57506,-7,0.0015529,2,2,2,0,3,0
"Cuba",1997,40,16.21341,7.743238,0,11.57506,-7,0.0014488,2,2,2,0,4,0
"Cuba",1998,40,16.21341,7.753973,0,11.57506,-7,0.0014399,2,2,2,0,3,0
"Cuba",1999,40,16.21341,7.847734,0,11.57506,-7,0.0013884,2,2,2,0,4,0
"Cuba",2000,40,16.21341,7.919161,0,11.57506,-7,0.0014429,2,2,2,0,4,0
"Cuba",2001,40,16.21341,7.951973,0,11.57506,-7,0.0013719,2,2,2,0,5,0
"Cuba",2002,40,16.21341,8.007463,0,11.57506,-7,0.0014047,2,3,2,0,4,0
"Cuba",2003,40,16.21341,8.071297,0,11.57506,-7,0.0013326,2,3,3,0,4,0
"Cuba",2004,40,16.21341,8.131124,0,11.57506,-7,0.0013444,3,2,2,0,4,0
"Cuba",2005,40,16.21341,8.239297,0,11.57506,-7,0.001366,3,2,NA,0,4,0
"Haiti",1981,41,15.50191,NA,13.74081,10.22412,-9,0.0003599,1,1,1,0,5,1
"Haiti",1982,41,15.52026,NA,13.89654,10.22412,-9,0.0003575,2,1,1,0,5,1
"Haiti",1983,41,15.53828,NA,14.07497,10.22412,-9,0.0003542,2,1,1,0,5,1
"Haiti",1984,41,15.57337,NA,14.13004,10.22412,-9,0.0003321,1,1,1,0,3,1
"Haiti",1985,41,15.59046,NA,14.08154,10.22412,-9,0.0003464,1,1,1,0,5,1
"Haiti",1986,41,15.60727,NA,12.97193,10.22412,-8,0.0004369,2,1,1,0,3,1
"Haiti",1987,41,15.6238,NA,13.04047,10.22412,-8,0.0003843,2,1,1,0,0,1
"Haiti",1988,41,15.64006,NA,0,10.22412,-7,0.0003945,2,1,1,0,3,1
"Haiti",1989,41,15.65606,NA,12.03754,10.22412,-6,0.0004175,NA,1,1,0,4,1
"Haiti",1990,41,15.68731,NA,13.60734,10.22412,7,0.000402,2,1,1,0,2,1
"Haiti",1991,41,15.70258,6.17284,14.78188,10.22412,-7,0.0004223,1,0,1,0,3,1
"Haiti",1992,41,15.71762,5.722127,0,10.22412,-7,0.0004358,1,1,1,0,0,1
"Haiti",1993,41,15.74703,5.519107,0,10.22412,-7,0.0005075,1,1,1,0,0,1
"Haiti",1994,41,15.76142,5.643403,0,10.22412,7,0.0004392,1,1,1,0,0,1
"Haiti",1995,41,15.78959,5.885461,16.40751,10.22412,7,0.0003776,1,1,0,0,6,1
"Haiti",1996,41,15.80338,5.899907,13.76197,10.22412,7,0.0003955,1,1,1,0,5,1
"Haiti",1997,41,15.83041,6.020057,13.45032,10.22412,7,0.0003829,1,1,1,0,5,1
"Haiti",1998,41,15.84366,6.111288,14.06934,10.22412,7,0.0003931,1,1,1,0,3,1
"Haiti",1999,41,15.86963,6.203009,13.34208,10.22412,2,0.0003927,1,1,1,0,2,1
"Haiti",2000,41,15.89495,6.136606,14.36535,10.22412,-2,0.0004734,1,2,1,0,5,1
"Haiti",2001,41,15.90737,6.025233,15.14755,10.22412,-2,0.0004202,1,2,1,0,4,1
"Haiti",2002,41,15.90737,5.97385,13.63061,10.22412,-2,0.0005016,1,2,1,0,3,1
"Haiti",2003,41,15.90737,5.798432,13.49983,10.22412,-2,0.0004894,1,2,1,0,2,1
"Haiti",2004,41,15.90737,5.960858,13.61594,10.22412,0,0.0006359,1,2,0,0,2,1
"Haiti",2005,41,15.90737,6.142704,13.36412,10.22412,3,0.0005147,1,2,NA,0,2,1
"Dominican Republic",1981,42,15.57337,7.108785,15.83987,10.7856,6,0.0007999,2,2,2,0,7,1
"Dominican Republic",1982,42,15.60727,7.177877,16.05437,10.7856,6,0.0007926,2,2,2,0,6,1
"Dominican Republic",1983,42,15.6238,7.23513,16.24058,10.7856,6,0.000774,2,2,2,0,7,1
"Dominican Republic",1984,42,15.64006,7.394144,15.6444,10.7856,6,0.0007413,2,2,2,0,6,1
"Dominican Republic",1985,42,15.67181,6.655983,16.61929,10.7856,6,0.0007116,2,2,2,0,7,1
"Dominican Republic",1986,42,15.68731,6.828582,14.05462,10.7856,6,0.0006977,2,2,2,0,6,1
"Dominican Republic",1987,42,15.71762,6.75856,14.18775,10.7856,6,7e-04,2,2,2,0,6,1
"Dominican Republic",1988,42,15.73243,6.657382,14.5698,10.7856,6,0.0006837,2,2,2,0,8,1
"Dominican Republic",1989,42,15.76142,6.855834,13.9574,10.7856,6,0.0006954,2,2,2,0,7,1
"Dominican Republic",1990,42,15.77561,6.892328,15.00313,10.7856,6,0.0006853,2,2,2,0,5,1
"Dominican Republic",1991,42,15.80338,7.191016,14.76191,10.7856,6,0.0007149,2,2,2,0,5,1
"Dominican Republic",1992,42,15.81699,7.31988,14.90919,10.7856,6,0.0007329,2,2,2,0,4,1
"Dominican Republic",1993,42,15.83041,7.441233,14.60595,10.7856,6,0.000742,2,2,2,0,5,1
"Dominican Republic",1994,42,15.85673,7.534585,16.33423,10.7856,5,0.0007536,1,2,1,0,2,1
"Dominican Republic",1995,42,15.86963,7.6366,13.42415,10.7856,5,0.0007588,1,2,1,0,4,1
"Dominican Republic",1996,42,15.89495,7.722349,13.51474,10.7856,8,0.0007667,1,2,1,0,4,1
"Dominican Republic",1997,42,15.90737,7.783305,14.47249,10.7856,8,0.0007773,1,2,1,0,4,1
"Dominican Republic",1998,42,15.93177,7.844596,14.72724,10.7856,8,8e-04,1,2,1,0,2,1
"Dominican Republic",1999,42,15.94374,7.853824,14.80624,10.7856,8,0.0008402,1,2,1,0,4,1
"Dominican Republic",2000,42,15.94374,7.93824,15.66635,10.7856,8,0.0008058,1,2,1,0,4,1
"Dominican Republic",2001,42,15.95558,7.959333,14.66093,10.7856,8,0.0008286,1,2,1,0,4,1
"Dominican Republic",2002,42,15.95558,8.009187,15.85814,10.7856,8,0.0009486,1,2,1,0,5,1
"Dominican Republic",2003,42,15.95558,7.771754,14.63217,10.7856,8,0.0009117,1,2,1,0,4,1
"Dominican Republic",2004,42,15.95558,7.791975,15.45334,10.7856,8,0.0009367,1,2,1,0,4,1
"Dominican Republic",2005,42,15.95558,8.210958,15.18822,10.7856,8,0.0009587,1,2,NA,0,4,1
"Jamaica",1981,51,14.60397,7.22818,15.12466,9.290075,10,0.0001411,1,2,1,0,7,1
"Jamaica",1982,51,14.60397,7.311202,14.63643,9.290075,10,0.0001416,1,2,1,0,8,1
"Jamaica",1983,51,14.60397,7.387193,12.73903,9.290075,10,0.0001559,1,2,2,0,7,1
"Jamaica",1984,51,14.64842,6.948017,12.88369,9.290075,10,0.0001361,2,2,2,0,6,1
"Jamaica",1985,51,14.64842,6.812083,16.48864,9.290075,10,0.0001423,2,2,2,0,6,1
"Jamaica",1986,51,14.64842,7.072655,13.17417,9.290075,10,0.0001463,1,2,1,0,7,1
"Jamaica",1987,51,14.69098,7.243062,13.24934,9.290075,10,0.0001411,2,2,1,0,5,1
"Jamaica",1988,51,14.69098,7.393052,13.10264,9.290075,10,0.0001419,1,2,1,0,7,1
"Jamaica",1989,51,14.69098,7.525526,16.33019,9.290075,10,0.0001433,1,1,1,0,7,1
"Jamaica",1990,51,14.69098,7.560823,15.89861,9.290075,10,0.0001458,2,2,1,0,6,1
"Jamaica",1991,51,14.69098,7.433715,14.97522,9.290075,10,0.0001421,2,2,2,0,6,1
"Jamaica",1992,51,14.69098,7.284281,15.39731,9.290075,10,0.0001448,2,2,2,0,5,1
"Jamaica",1993,51,14.7318,7.596328,14.05476,9.290075,9,0.00015,2,2,1,0,4,1
"Jamaica",1994,51,14.7318,7.598432,14.40417,9.290075,9,0.0001585,2,2,2,0,5,1
"Jamaica",1995,51,14.7318,7.753777,13.43077,9.290075,9,0.0001671,2,2,2,0,5,1
"Jamaica",1996,51,14.7318,7.859989,14.67588,9.290075,9,0.0001727,2,2,1,0,6,1
"Jamaica",1997,51,14.77102,7.986187,14.18173,9.290075,9,0.0001814,2,2,1,0,6,1
"Jamaica",1998,51,14.77102,8.134431,14.70727,9.290075,9,0.0001863,1,2,1,0,6,1
"Jamaica",1999,51,14.77102,8.136453,14.70473,9.290075,9,0.0001836,2,2,2,0,6,1
"Jamaica",2000,51,14.77102,8.145679,14.4166,9.290075,9,0.0001925,2,2,2,0,7,1
"Jamaica",2001,51,14.77102,8.157055,14.55483,9.290075,9,0.0001975,2,2,1,0,6,1
"Jamaica",2002,51,14.77102,8.217918,14.55546,9.290075,9,0.0002005,2,2,1,0,6,1
"Jamaica",2003,51,14.77102,8.183442,14.60868,9.290075,9,0.0001876,1,2,1,0,5,1
"Jamaica",2004,51,14.77102,8.256766,14.60271,9.290075,9,0.0001808,1,2,2,0,4,1
"Jamaica",2005,51,14.77102,8.351921,14.99051,9.290075,9,0.000177,1,2,NA,0,5,1
"Trinidad and Tobago",1981,52,13.91082,8.754897,0,8.542861,8,0.0003556,2,2,2,0,8,1
"Trinidad and Tobago",1982,52,13.91082,8.890723,0,8.542861,8,0.0003829,2,2,2,0,7,1
"Trinidad and Tobago",1983,52,13.91082,8.827357,0,8.542861,8,0.0003037,2,2,2,0,8,1
"Trinidad and Tobago",1984,52,13.99783,8.811654,0,8.542861,9,0.0002426,2,2,2,0,8,1
"Trinidad and Tobago",1985,52,13.99783,8.748173,11.21131,8.542861,9,0.0002629,2,2,2,0,7,1
"Trinidad and Tobago",1986,52,13.99783,8.30627,11.43722,8.542861,9,0.0002601,2,2,2,0,8,1
"Trinidad and Tobago",1987,52,13.99783,8.297559,11.67752,8.542861,9,0.0002642,2,2,2,0,8,1
"Trinidad and Tobago",1988,52,13.99783,8.224757,11.44172,8.542861,9,0.0002358,2,2,2,0,7,1
"Trinidad and Tobago",1989,52,13.99783,8.178106,9.734951,8.542861,9,0.0002047,2,2,2,0,7,1
"Trinidad and Tobago",1990,52,13.99783,8.330291,13.93633,8.542861,9,0.0003234,2,2,3,0,5,1
"Trinidad and Tobago",1991,52,13.99783,8.350109,13.69872,8.542861,9,0.0003156,3,2,3,0,5,1
"Trinidad and Tobago",1992,52,13.99783,8.365837,13.62557,8.542861,9,0.0003518,3,2,NA,0,6,1
"Trinidad and Tobago",1993,52,13.99783,8.211077,13.7095,8.542861,9,0.0003692,3,2,3,0,6,1
"Trinidad and Tobago",1994,52,14.07788,8.283192,12.46315,8.542861,9,0.0003616,2,2,2,0,5,1
"Trinidad and Tobago",1995,52,14.07788,8.35382,11.82555,8.542861,9,0.000386,2,2,NA,0,5,1
"Trinidad and Tobago",1996,52,14.07788,8.428811,13.20124,8.542861,9,0.0003815,2,2,NA,0,7,1
"Trinidad and Tobago",1997,52,14.07788,8.423182,13.57784,8.542861,10,0.0003621,2,2,1,0,8,1
"Trinidad and Tobago",1998,52,14.07788,8.473642,14.61697,8.542861,10,0.0003976,2,2,1,0,8,1
"Trinidad and Tobago",1999,52,14.07788,8.591097,13.14839,8.542861,10,0.000398,2,2,2,0,7,1
"Trinidad and Tobago",2000,52,14.07788,8.768887,14.29042,8.542861,10,0.000407,2,2,1,0,8,1
"Trinidad and Tobago",2001,52,14.07788,8.844435,14.04894,8.542861,10,0.0003944,2,2,2,0,7,1
"Trinidad and Tobago",2002,52,14.07788,8.860727,13.70735,8.542861,10,0.000406,2,2,2,0,7,1
"Trinidad and Tobago",2003,52,14.07788,9.08302,13.68557,8.542861,10,0.0004118,2,2,NA,0,6,1
"Trinidad and Tobago",2004,52,14.07788,9.238973,12.10438,8.542861,10,0.0003745,2,3,3,0,6,1
"Trinidad and Tobago",2005,52,14.07788,9.419234,11.82985,8.542861,10,0.0003574,2,2,NA,0,6,1
"Barbados",1981,53,12.42882,8.389946,10.55787,6.063785,NA,2.39e-05,NA,NA,NA,1,NA,1
"Barbados",1982,53,12.43241,8.430619,11.68356,6.063785,NA,2.28e-05,NA,NA,NA,1,NA,1
"Barbados",1983,53,12.43599,8.488045,11.56631,6.063785,NA,2.26e-05,NA,NA,NA,1,NA,1
"Barbados",1984,53,12.43956,8.57128,11.82888,6.063785,NA,2.16e-05,NA,NA,NA,1,NA,1
"Barbados",1985,53,12.44114,8.613872,11.78186,6.063785,NA,2.16e-05,NA,NA,NA,1,NA,1
"Barbados",1986,53,12.44312,8.70426,11.7593,6.063785,NA,2.14e-05,NA,NA,NA,1,NA,1
"Barbados",1987,53,12.44509,8.797263,11.72264,6.063785,NA,2.07e-05,NA,NA,NA,1,NA,1
"Barbados",1988,53,12.44902,8.855371,11.90224,6.063785,NA,1.51e-05,NA,NA,NA,1,NA,1
"Barbados",1989,53,12.45473,8.953156,8.125631,6.063785,NA,1.51e-05,NA,NA,NA,1,NA,1
"Barbados",1990,53,12.46072,8.952586,13.90551,6.063785,NA,1.72e-05,NA,NA,NA,1,NA,1
"Barbados",1991,53,12.46844,8.9533,14.50156,6.063785,NA,1.54e-05,NA,NA,NA,1,NA,1
"Barbados",1992,53,12.4761,8.917876,14.10275,6.063785,NA,1.4e-05,NA,NA,NA,1,NA,1
"Barbados",1993,53,12.48181,8.967338,12.07641,6.063785,NA,1.5e-05,NA,NA,NA,1,NA,1
"Barbados",1994,53,12.48484,9.005598,11.1213,6.063785,NA,1.4e-05,NA,NA,NA,1,NA,1
"Barbados",1995,53,12.48446,9.05227,11.93512,6.063785,NA,1.43e-05,NA,NA,NA,1,NA,1
"Barbados",1996,53,12.48522,9.112643,12.95365,6.063785,NA,1.4e-05,NA,NA,NA,1,NA,1
"Barbados",1997,53,12.48699,9.164211,15.03792,6.063785,NA,1.36e-05,NA,NA,NA,1,NA,1
"Barbados",1998,53,12.48986,9.280509,13.48686,6.063785,NA,1.16e-05,NA,NA,NA,1,NA,1
"Barbados",1999,53,12.4938,9.323695,13.41136,6.063785,NA,1.15e-05,NA,NA,NA,1,NA,1
"Barbados",2000,53,12.495,9.356003,13.24718,6.063785,NA,1.91e-05,NA,NA,NA,1,NA,1
"Barbados",2001,53,12.49945,9.351262,14.03135,6.063785,NA,1.94e-05,2,2,1,1,7,1
"Barbados",2002,53,12.49945,9.3652,13.68581,6.063785,NA,1.91e-05,NA,NA,NA,1,NA,1
"Barbados",2003,53,12.49945,9.395067,13.38739,6.063785,NA,2.05e-05,2,3,1,1,7,1
"Barbados",2004,53,12.49945,9.462603,12.54525,6.063785,NA,2.02e-05,2,2,3,1,7,1
"Barbados",2005,53,12.49945,9.562671,12.26921,6.063785,NA,2.06e-05,2,2,NA,1,7,1
"Dominica",1981,54,11.2203,6.778226,9.80411,NA,NA,3.34e-06,NA,NA,NA,0,NA,1
"Dominica",1982,54,11.21667,6.865416,9.044522,NA,NA,3.37e-06,NA,NA,NA,0,NA,1
"Dominica",1983,54,11.21304,6.974706,10.01297,NA,NA,3.34e-06,NA,NA,NA,0,NA,1
"Dominica",1984,54,11.20952,7.09891,11.34159,NA,NA,3.22e-06,NA,NA,NA,0,NA,1
"Dominica",1985,54,11.20586,7.199488,11.33194,NA,NA,3.16e-06,NA,NA,NA,0,NA,1
"Dominica",1986,54,11.20232,7.336113,11.35384,NA,NA,2.55e-06,NA,NA,NA,0,NA,1
"Dominica",1987,54,11.19821,7.465032,11.47344,NA,NA,2.48e-06,NA,NA,NA,0,NA,1
"Dominica",1988,54,11.19506,7.602857,11.185,NA,NA,2.44e-06,NA,NA,NA,0,NA,1
"Dominica",1989,54,11.19162,7.674552,11.23903,NA,NA,2.37e-06,NA,NA,NA,0,NA,1
"Dominica",1990,54,11.18803,7.760017,13.97876,NA,NA,2.3e-06,NA,NA,NA,0,NA,1
"Dominica",1991,54,11.18442,7.842587,13.66268,NA,NA,2.27e-06,NA,NA,NA,0,NA,1
"Dominica",1992,54,11.18359,7.901626,13.52186,NA,NA,2.26e-06,NA,NA,NA,0,NA,1
"Dominica",1993,54,11.18567,7.9426,12.33152,NA,NA,2.26e-06,NA,NA,NA,0,NA,1
"Dominica",1994,54,11.19051,8.012622,11.49735,NA,NA,2.26e-06,NA,NA,NA,0,NA,1
"Dominica",1995,54,11.19821,8.051731,11.64112,NA,NA,2.17e-06,NA,NA,NA,0,NA,1
"Dominica",1996,54,11.19821,8.108734,11.69586,NA,NA,2.23e-06,NA,NA,NA,0,NA,1
"Dominica",1997,54,11.19821,8.152961,12.70798,NA,NA,2.12e-06,NA,NA,NA,0,NA,1
"Dominica",1998,54,11.19821,8.209721,12.45457,NA,NA,2.1e-06,NA,NA,NA,0,NA,1
"Dominica",1999,54,11.19821,8.25068,12.48385,NA,NA,2.07e-06,NA,NA,NA,0,NA,1
"Dominica",2000,54,11.18442,8.480509,12.75491,NA,NA,2.05e-06,NA,NA,NA,0,NA,1
"Dominica",2001,54,11.18261,8.502208,13.00423,NA,NA,2.03e-06,2,2,1,0,7,1
"Dominica",2002,54,11.18261,8.48418,13.0255,NA,NA,1.99e-06,NA,NA,NA,0,NA,1
"Dominica",2003,54,11.18261,8.516625,11.30602,NA,NA,1.95e-06,2,2,1,0,7,1
"Dominica",2004,54,11.18261,8.580944,13.15455,NA,NA,1.93e-06,1,2,2,0,7,1
"Dominica",2005,54,11.18261,8.566051,12.46075,NA,NA,1.93e-06,1,2,NA,0,6,1
"Grenada",1981,55,11.39639,6.87765,0,NA,NA,1.13e-05,NA,NA,NA,0,NA,1
"Grenada",1982,55,11.39919,6.930469,0,NA,NA,1.09e-05,NA,NA,NA,0,NA,1
"Grenada",1983,55,11.40198,6.960814,0,NA,NA,9.97e-06,NA,NA,NA,0,NA,1
"Grenada",1984,55,11.40477,7.019697,11.67473,NA,NA,4.03e-06,NA,NA,NA,0,NA,1
"Grenada",1985,55,11.40757,7.157194,11.69089,NA,NA,3.84e-06,NA,NA,NA,0,NA,1
"Grenada",1986,55,11.41541,7.271017,11.84268,NA,NA,4.03e-06,NA,NA,NA,0,NA,1
"Grenada",1987,55,11.42325,7.428162,11.83387,NA,NA,3.97e-06,NA,NA,NA,0,NA,1
"Grenada",1988,55,11.4311,7.539975,11.61456,NA,NA,3.62e-06,NA,NA,NA,0,NA,1
"Grenada",1989,55,11.43894,7.69598,11.70903,NA,NA,3.62e-06,NA,NA,NA,0,NA,1
"Grenada",1990,55,11.44679,7.738914,13.89502,NA,NA,3.51e-06,NA,NA,NA,0,NA,1
"Grenada",1991,55,11.44679,7.82584,13.84806,NA,NA,3.52e-06,NA,NA,NA,0,NA,1
"Grenada",1992,55,11.44785,7.856088,13.71103,NA,NA,3.46e-06,NA,NA,NA,0,NA,1
"Grenada",1993,55,11.44892,7.842208,12.83169,NA,NA,3.45e-06,NA,NA,NA,0,NA,1
"Grenada",1994,55,11.45211,7.876069,11.68711,NA,NA,2.85e-06,NA,NA,NA,0,NA,1
